playerID,birthdate,weight,height,bats,throws
abadan01,1972-08-25,83.460928,1.8541999999999998,L,L
abadfe01,1985-12-17,106.59412,1.8796,L,L
abbotje01,1972-08-17,86.18248,1.8796,R,L
abbotji01,1967-09-19,90.7184,1.905,L,L
abbotku01,1969-06-02,81.64656,1.8034,R,R
abbotky01,1968-02-18,90.7184,1.9304,L,L
abbotpa01,1967-09-15,83.91452,1.905,R,R
abercre01,1980-07-15,97.52228,1.905,R,R
abernbr01,1977-09-23,83.91452,1.8541999999999998,R,R
abnersh01,1966-06-17,86.18248,1.8541999999999998,R,R
abreubo01,1974-03-11,99.79024,1.8288,L,R
abreujo02,1987-01-29,113.398,1.905,R,R
abreuto01,1984-11-13,90.7184,1.778,B,R
aceveal01,1982-12-08,92.98636,1.8796,R,R
acevejo01,1977-12-18,83.91452,1.8288,R,R
aceveju01,1970-05-05,111.13004,1.8796,R,R
ackerji01,1958-09-24,95.25431999999999,1.8796,R,R
ackledu01,1988-02-26,92.98636,1.8541999999999998,L,R
acunaro01,1997-12-18,92.98636,1.8288,R,R
adamecr01,1991-07-26,98.429464,1.8034,B,R
adamewi01,1995-09-02,95.25431999999999,1.8288,R,R
adamsau02,1991-05-05,99.79024,1.905,R,R
adamsch01,1994-08-10,97.52228,1.8541999999999998,R,R
adamsda02,1987-05-15,92.98636,1.8796,R,R
adamsjo02,1971-07-02,83.91452,1.9304,L,L
adamsla01,1989-11-13,86.18248,1.9304,R,R
adamsma01,1988-08-31,111.13004,1.905,L,R
adamsru01,1980-08-30,92.98636,1.8288,L,R
adamsry01,1987-04-21,83.91452,1.8034,R,R
adamste01,1973-03-06,81.64656,1.905,R,R
adamswi02,1972-10-08,97.52228,2.0065999999999997,R,R
adcocna01,1988-02-25,106.59412,1.9304,R,R
adducji01,1959-08-09,90.7184,1.9558,L,L
adducji02,1985-05-15,95.25431999999999,1.8796,L,L
adenhni01,1986-08-24,83.91452,1.905,R,R
adkinst01,1964-10-26,95.25431999999999,1.9811999999999999,R,L
adlemti01,1987-11-13,102.0582,1.9558,R,R
adriaeh01,1989-08-21,88.45044,1.8541999999999998,B,R
afenitr01,1963-09-21,83.91452,1.9304,R,R
affelje01,1979-06-06,102.0582,1.9304,L,L
agbaybe01,1971-12-28,102.0582,1.8288,R,R
agostju01,1958-02-23,86.18248,1.8796,L,L
agrazda01,1994-12-28,102.0582,1.8796,R,R
aguaylu01,1959-03-13,78.471416,1.7526,R,R
aguilch01,1979-02-23,90.7184,1.8034,R,R
aguilje01,1990-06-30,125.644984,1.905,R,R
aguilri01,1961-12-31,88.45044,1.9304,R,R
ahearpa01,1969-12-10,88.45044,1.905,R,R
ahmedni01,1990-03-15,90.7184,1.8796,R,R
ainswku01,1978-09-09,87.089664,1.905,R,R
akerfda01,1962-06-12,95.25431999999999,1.8796,R,R
